period,risk_grade,eligible_accounts,excluded_immature_accounts,bad_events,observed_bad_rate_matured,mean_pd_matured,calibration_gap_matured,oe_ratio_matured,outcome_window,eligibility_status,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
2007-06,A - Low,6,0,1,0.16666666666666666,0.0852319318273173,0.08143473483934936,1.955448657486009,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-06
2007-06,B - Moderate,5,0,0,0.0,0.1432693216975753,-0.1432693216975753,0.0,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-06
2007-06,C - Watch,8,0,2,0.25,0.17741915612893894,0.07258084387106106,1.409092487275236,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-06
2007-06,D - High,3,0,0,0.0,0.2301124739344026,-0.2301124739344026,0.0,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-06
2007-06,E - Very High,1,0,0,0.0,0.2707462755231136,-0.2707462755231136,0.0,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-06
2007-07,A - Low,17,0,0,0.0,0.0852319318273173,-0.0852319318273173,0.0,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-07
2007-07,B - Moderate,11,0,1,0.09090909090909091,0.1394201436901018,-0.048511052781010894,0.65205133564602,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-07
2007-07,C - Watch,9,0,2,0.2222222222222222,0.18251489828460227,0.03970732393761994,1.2175566176285666,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-07
2007-07,D - High,18,0,3,0.16666666666666666,0.22439206426915057,-0.05772539760248391,0.7427475976456802,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-07
2007-07,E - Very High,7,0,1,0.14285714285714285,0.31428995667196585,-0.171432813814823,0.45453931894568067,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-07
2007-08,A - Low,14,0,1,0.07142857142857142,0.0852319318273173,-0.01380336039874587,0.838049424636861,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-08
2007-08,B - Moderate,18,0,5,0.2777777777777778,0.1387327904744816,0.1390449873032962,2.0022503463510457,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-08
2007-08,C - Watch,12,0,4,0.3333333333333333,0.1794131421898507,0.15392019114348263,1.8579092326503484,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-08
2007-08,D - High,20,0,6,0.3,0.2217803254230942,0.07821967457690579,1.3526898719608458,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-08
2007-08,E - Very High,8,0,4,0.5,0.2859865639252119,0.21401343607478812,1.748333883723134,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-08
2007-09,A - Low,10,0,0,0.0,0.08523193182731728,-0.08523193182731728,0.0,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-09
2007-09,B - Moderate,7,0,1,0.14285714285714285,0.14197316991954853,0.0008839729375943184,1.0062263379629774,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-09
2007-09,C - Watch,9,0,2,0.2222222222222222,0.18428733033874603,0.03793489188347618,1.2058464454053706,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-09
2007-09,D - High,16,0,7,0.4375,0.226749782169669,0.210750217830331,1.9294395602666286,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-09
2007-09,E - Very High,11,0,3,0.2727272727272727,0.29291396774434747,-0.020186695017074763,0.9310831942480342,12-month matured target,LOW_SAMPLE_REVIEW,Observed,Derived,P3/P6,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Calibration uses matured accounts only,2007-09
