policy_version,policy_version_name,application_period,policy_decision,accounts,matured_accounts,observed_bad_accounts,observed_bad_rate_matured,outcome_status,exposure,avg_pd,expected_loss,exceptions,overrides,approve_cutoff,manual_upper_cutoff,segment_overlay_enabled,data_layer,data_status,source_project,source_version,claim_boundary,as_of_period
baseline_current_25,Baseline Current Policy 25%,2007-06,APPROVE,22,22,3,0.13636363636363635,ASSESSABLE,84350.0,0.15170131228575004,5043.351956619427,0,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-06
baseline_current_25,Baseline Current Policy 25%,2007-06,MANUAL_REVIEW,1,1,0,0.0,ASSESSABLE,1000.0,0.2707462755231136,124.54328674063224,1,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-06
baseline_current_25,Baseline Current Policy 25%,2007-07,APPROVE,55,55,6,0.10909090909090909,ASSESSABLE,326475.0,0.15753192114657538,20542.37939571555,11,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-07
baseline_current_25,Baseline Current Policy 25%,2007-07,MANUAL_REVIEW,7,7,1,0.14285714285714285,ASSESSABLE,15150.0,0.31428995667196585,2474.473156829798,7,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-07
baseline_current_25,Baseline Current Policy 25%,2007-08,APPROVE,64,64,16,0.25,ASSESSABLE,469075.0,0.16060939826348752,33309.94763902329,9,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-08
baseline_current_25,Baseline Current Policy 25%,2007-08,MANUAL_REVIEW,8,8,4,0.5,ASSESSABLE,34225.0,0.2859865639252119,4884.873830976377,4,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-08
baseline_current_25,Baseline Current Policy 25%,2007-09,APPROVE,42,42,10,0.23809523809523808,ASSESSABLE,275675.0,0.16982652370174833,18339.06306331813,12,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-09
baseline_current_25,Baseline Current Policy 25%,2007-09,MANUAL_REVIEW,11,11,3,0.2727272727272727,ASSESSABLE,97275.0,0.29291396774434747,12866.74384203065,10,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-09
baseline_current_25,Baseline Current Policy 25%,2007-10,APPROVE,87,87,26,0.2988505747126437,ASSESSABLE,633650.0,0.17937264462068098,47762.700065933765,24,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-10
baseline_current_25,Baseline Current Policy 25%,2007-10,MANUAL_REVIEW,18,18,8,0.4444444444444444,ASSESSABLE,119575.0,0.29106666005924464,16517.64035676876,8,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-10
baseline_current_25,Baseline Current Policy 25%,2007-11,APPROVE,90,90,27,0.3,ASSESSABLE,859850.0,0.18248256502181728,58896.995118916595,22,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-11
baseline_current_25,Baseline Current Policy 25%,2007-11,MANUAL_REVIEW,22,22,7,0.3181818181818182,ASSESSABLE,148800.0,0.29014300621669326,19142.330728775676,18,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-11
baseline_current_25,Baseline Current Policy 25%,2007-12,APPROVE,145,145,40,0.27586206896551724,ASSESSABLE,1675575.0,0.1753917499366987,115384.53227075632,21,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-12
baseline_current_25,Baseline Current Policy 25%,2007-12,MANUAL_REVIEW,27,27,7,0.25925925925925924,ASSESSABLE,211600.0,0.29106666005924464,27995.650338981915,15,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2007-12
baseline_current_25,Baseline Current Policy 25%,2008-01,APPROVE,246,246,65,0.26422764227642276,ASSESSABLE,2416800.0,0.16644799304531063,155371.50205741962,23,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-01
baseline_current_25,Baseline Current Policy 25%,2008-01,MANUAL_REVIEW,59,59,19,0.3220338983050847,ASSESSABLE,509200.0,0.2852116340064611,66732.0214523255,30,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-01
baseline_current_25,Baseline Current Policy 25%,2008-02,APPROVE,257,257,51,0.19844357976653695,ASSESSABLE,2529125.0,0.1707150781754159,165774.79004616768,31,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-02
baseline_current_25,Baseline Current Policy 25%,2008-02,MANUAL_REVIEW,49,49,10,0.20408163265306123,ASSESSABLE,430100.0,0.2931401686853804,57808.21162847127,20,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-02
baseline_current_25,Baseline Current Policy 25%,2008-03,APPROVE,344,344,75,0.2180232558139535,ASSESSABLE,3708175.0,0.1730623185031443,246778.13033787697,47,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-03
baseline_current_25,Baseline Current Policy 25%,2008-03,MANUAL_REVIEW,58,58,14,0.2413793103448276,ASSESSABLE,441875.0,0.30122685232731017,61269.83574053644,31,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-03
baseline_current_25,Baseline Current Policy 25%,2008-04,APPROVE,216,216,49,0.22685185185185186,ASSESSABLE,2076750.0,0.17242854074422026,139091.886825639,28,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-04
baseline_current_25,Baseline Current Policy 25%,2008-04,MANUAL_REVIEW,43,43,14,0.32558139534883723,ASSESSABLE,357125.0,0.2920117942237158,46861.80343660296,22,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-04
baseline_current_25,Baseline Current Policy 25%,2008-05,APPROVE,99,99,22,0.2222222222222222,ASSESSABLE,547725.0,0.17638147725818376,37813.5245721734,12,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-05
baseline_current_25,Baseline Current Policy 25%,2008-05,MANUAL_REVIEW,16,16,3,0.1875,ASSESSABLE,81175.0,0.28979663602573646,10720.418696289293,5,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-05
baseline_current_25,Baseline Current Policy 25%,2008-06,APPROVE,111,111,17,0.15315315315315314,ASSESSABLE,599125.0,0.16985667560878445,41146.08619585533,14,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-06
baseline_current_25,Baseline Current Policy 25%,2008-06,MANUAL_REVIEW,13,13,5,0.38461538461538464,ASSESSABLE,61050.0,0.28950355355646534,8038.7217340099405,6,0,0.25,0.35,False,Observed,Derived,P6/P2,Project2_CreditPortfolioMonitoring_GoldCandidate_v2_1_4,Policy decision outcomes use matured denominators,2008-06
